L1002,Microsoft Software Surface Pro 7,Business,Budget,Laptop,589
L1012,Dell Inspire 13 5000 (5391),Home use,Budget,Laptop,599
L1010,HP Pavilion x360,Home use,Budget,Convertible,620
L1009,Acer Aspire 3,Home use,Budget,Laptop,620
L1005,Dell G3 15,Gaming,Budget,Laptop,729
L1020,Lenovo Ideapad 7,Customized,Budget,Laptop,800
L1011,Acer Swift 3,Home use,Budget,Laptop,864
L1013,Apple MacBook Air,High performance,Budget,Laptop,999
L1014,Dell XPS 15,High performance,Mid,Laptop,1149
L1015,HP spectre x360,High performance,Mid,Laptop,1149
L1019,Lenovo Chromebook C340-11,Customized,Mid,Laptop,1200
L1018,Dell Chromebook 3100 Education,Customized,Mid,Laptop,1200
L1007,Asus Rog Zephyrus G14,Gaming,Mid,Laptop,1269
L1006,Acer Predator Helios 300,Gaming,Mid,Laptop,1269
L1008,MSI gs65 Stealth Thin,Gaming,Mid,Laptop,1599
L1001,FTP Elite Dragonfly,Business,Mid,Laptop,1799
L1003,Dell Latitude 9410 2-in-1,Business,Mid,Convertible,1799
L1004,Acer Nitro 5,Gaming,High,Laptop,2200
L1000,Lenovo ThinkPad x1 Carbon (8th Gen) ,Business,High,Laptop,2200
L1016,Lg gram 17,High performance,High,Convertible,2500
L1017,Asus Vivobook 15.6 inch,Customized,High,Convertible,2600
L1021,HP Omen Obelisk,Customized,High,Desktop,2700
L1022,iMac 21.54K,High performance,High,Desktop,5400
L1023,iMac 2019 24 inch,High performance,High,Desktop,6200
